Food,Serving,Calories,User type,Constraint variable
Artichoke,1 artichoke (128 g),60 cal,VG/NV,V
Arugula,1 leaf (2 g),1 cal,VG/NV,V
Asparagus,1 spear (12 g),2 cal,VG/NV,V
Aubergine,1 aubergine (458 g),115 cal,VG/NV,V
Beetroot,1 beet (82 g),35 cal,VG/NV,V
Bell Pepper,1 pepper (73 g),15 cal,VG/NV,V
Black Olives,1 olive (2.7 g),2 cal,VG/NV,V
Broccoli,1 bunch (608 g),207 cal,VG/NV,V
Brussels Sprouts,1 sprout (19 g),8 cal,VG/NV,V
Cabbage,1 head (908 g),227 cal,VG/NV,V
Capsicum,1 pepper (45 g),12 cal,VG/NV,V
Carrot,1 carrot (61 g),25 cal,VG/NV,V
Cauliflower,1 floweret (13 g),3 cal,VG/NV,V
Celery,1 stalk (40 g),6 cal,VG/NV,V
Chard,1 leaf (48 g),9 cal,VG/NV,V
Cherry Tomato,1 cherry tomato (20 g),20 cal,VG/NV,V
Chicory,1 head (53 g),38 cal,VG/NV,V
Chinese Cabbage,1 head (840 g),134 cal,VG/NV,V
Chives,"1 tbsp, chopped (3 g)",1 cal,VG/NV,V
Collard Greens,"1 cup, raw (36 g)",12 cal,VG/NV,V
Corn,1 cup (154 g),562 cal,VG/NV,V
Courgette,1 courgette (196 g),33 cal,VG/NV,V
Creamed Spinach,1 cup (200 g),148 cal,VG/NV,M
Cucumber,1 cucumber (410 g),66 cal,VG/NV,V
Eggplant,1 eggplant (458 g),115 cal,VG/NV,V
Endive,1 head (513 g),87 cal,VG/NV,V
Fennel,1 bulb (234 g),73 cal,VG/NV,V
Garlic,1 clove (3 g),4 cal,VG/NV,V
Gherkin,1 gherkin (65 g),9 cal,VG/NV,V
Gourd,1 gourd (771 g),108 cal,VG/NV,V
Green Beans,1 cup (110 g),34 cal,VG/NV,V
Green Olives,1 olive (2.7 g),2 cal,VG/NV,V
Green Onion,1 green onion (15 g),5 cal,VG/NV,V
Horseradish,1 tbsp (15 g),7 cal,VG/NV,V
Kale,"1 cup, chopped (67 g)",33 cal,VG/NV,V
